supplier_id,orders,revenue,freight,late_rate,cancel_rate,bad_review_rate,freight_burden,demand_volatility,revenue_share,risk_score,risk_quintile
2a1348e9addc1af5aaa619b1a3679d6b,52,2843.0000000000027,788.4000000000001,0.2708333333333333,0.019230769230769232,0.38461538461538464,0.27731269785437895,0.8848542439108448,0.0002546908730737292,91.5,5
ad781527c93d00d89a11eecd9dcad7c1,44,6899.569999999993,2379.6900000000005,0.3157894736842105,0.022727272727272728,0.4090909090909091,0.3449041027194452,0.7282190812544191,0.0006180997211161824,91.0,5
ede0c03645598cdfc63ca8237acbe73d,46,2518.3700000000003,751.5,0.32558139534883723,0.021739130434782608,0.30434782608695654,0.29840730313655256,0.7546328242482515,0.00022560881252996372,89.5,5
891071be6ba827b591264c90c2ae8a63,92,4177.279999999992,1277.0699999999997,0.1411764705882353,0.010869565217391304,0.25,0.30571807491956543,0.8623024459061865,0.000374222683880909,88.0,5
850913d59ce317156b00f3705f1c3edb,32,2690.0,580.96,0.1724137931034483,0.03125,0.34375,0.21597026022304833,0.8163969048508207,0.0002409843294295923,87.8,5
e5a3438891c0bfdb9394643f95273d8e,224,7738.350000000017,3374.269999999997,0.1574074074074074,0.004464285714285714,0.20089285714285715,0.43604515174423353,0.7597922892607144,0.0006932420392719292,85.8,5
e2aee0892199b1d92530e371abd825bf,38,5662.569999999995,2654.72,0.1388888888888889,0.02631578947368421,0.23684210526315788,0.46881892850772744,0.6000923289995463,0.0005072827636796005,84.7,5
d20b021d3efdf267a402c402a48ea64b,90,4140.169999999994,1574.9999999999995,0.16279069767441862,0.011111111111111112,0.2222222222222222,0.3804191615320148,0.5579503938302298,0.00037089817515781174,81.7,5
b17b679f4f5ce2e03ce6968c62648246,55,4084.7499999999986,1076.0700000000002,0.16,0.03636363636363636,0.23636363636363636,0.2634359507925823,0.5721257061970385,0.00036593336046004715,81.4,5
b19f3ca2ea475913750f25a5c37c8d8f,24,6202.909999999998,1346.64,0.3157894736842105,0.041666666666666664,0.5,0.21709810395443438,0.5303300858899107,0.0005556892590565472,81.3,5
897060da8b9a21f655304d50fd935913,317,23023.919999999987,6863.549999999998,0.10526315789473684,0.0031545741324921135,0.26813880126182965,0.29810518799578883,0.7214730699200551,0.00206260368849092,80.9,5
fffd5413c0700ac820c7069d66d98c89,60,9062.300000000001,2833.7400000000007,0.12280701754385964,0.016666666666666666,0.21666666666666667,0.31269545258929854,0.610030123958442,0.000811848434419998,80.1,5
821fb029fc6e495ca4f08a35d51e53a5,28,19187.42,1552.8300000000002,0.3333333333333333,0.03571428571428571,0.35714285714285715,0.08092958824062851,0.7071067811865476,0.00171890986698288,79.8,5
6973a06f484aacf400ece213dbf3d946,95,11011.049999999992,1363.5700000000006,0.14606741573033707,0.031578947368421054,0.2631578947368421,0.1238365096879954,0.7572804528115896,0.0009864276953775875,79.7,5
855668e0971d4dfd7bef1b6a4133b41b,312,32208.160000000058,7797.199999999999,0.12666666666666668,0.00641025641025641,0.23717948717948717,0.24208771938539753,0.6604576077151864,0.002885376148610049,79.5,5
bc47d5d1490df2b36add65d733eafaba,24,1004.8,415.11,0.09523809523809523,0.08333333333333333,0.375,0.41312699044585993,0.5039526306789696,9.001526178842168e-05,79.5,5
88460e8ebdecbfecb5f9601833981930,248,31546.550000000152,4996.549999999997,0.17073170731707318,0.004032258064516129,0.3185483870967742,0.1583865747601552,0.6869114641067886,0.0028261056496532125,79.1,5
392e0502231ae2f8b29994ef6398cd77,20,1871.7000000000003,355.89,0.11764705882352941,0.05,0.15,0.1901426510658759,1.2282391577259815,0.0001676767172466052,78.8,5
835f0f7810c76831d6c7d24c7a646d4d,44,5129.999999999999,964.03,0.2619047619047619,0.022727272727272728,0.3181818181818182,0.18792007797270957,0.5597864606639747,0.00045957234571517036,78.8,5
a673821011d0cec28146ea42f5ab767f,129,13863.68999999997,2626.4500000000007,0.104,0.015503875968992248,0.21705426356589147,0.18944811951219384,0.8483444583498024,0.0012419821702861476,78.8,5
8b28d096634035667e8263d57ba3368c,143,9375.699999999983,2591.449999999999,0.1079136690647482,0.006993006993006993,0.16083916083916083,0.27640069541474277,0.8999285137287113,0.0008399244525773324,78.6,5
3fd1e727ba94cfe122d165e176ce7967,37,2805.200000000002,589.2200000000003,0.2,0.02702702702702703,0.21621621621621623,0.2100456295451304,0.5620711984617681,0.0002513045505263542,77.9,5
