product_category,orders,revenue,avg_freight_ratio,late_rate,bad_review_rate,revenue_share,cum_revenue_share,abc_class
health_beauty,8801,1259312.819999976,0.28028610797016706,0.07535121328224777,0.13021247585501647,0.0926534603022269,0.0926534603022269,A
watches_gifts,5607,1205980.8799999997,0.16461220301724383,0.07414170927684441,0.15587658284287498,0.08872958316292433,0.18138304346515124,A
bed_bath_table,9328,1037777.6800000591,0.2725690207944128,0.07480400696864112,0.17270583190394512,0.07635409689264057,0.2577371403577918,A
sports_leisure,7683,987722.3100000358,0.28215930366812825,0.06593699946609717,0.13210985292203567,0.07267129214106938,0.3304084324988612,A
computers_accessories,6670,911673.7000000295,0.2977160342854531,0.06404546152664721,0.16401799100449774,0.06707604467295002,0.39748447717181123,A
furniture_decor,6330,727567.600000027,0.32535777564391594,0.07239819004524888,0.1674565560821485,0.05353050860213611,0.45101498577394733,A
cool_stuff,3603,635460.1799999994,0.20718859840321271,0.05920679886685552,0.1262836525117957,0.04675374031471943,0.4977687260886668,A
housewares,5821,631945.9000000164,0.3729452264755366,0.054225352112676053,0.13468476206837313,0.0464951785044225,0.5442639045930893,A
auto,3880,593117.6100000078,0.32159508622700556,0.07331223628691984,0.1463917525773196,0.04363840188070861,0.5879023064737979,A
toys,3870,484694.46000000485,0.2606797673787958,0.06416688671771852,0.13152454780361758,0.03566120998301328,0.6235635164568112,A
garden_tools,3469,482586.40000000666,0.324417640157972,0.0661764705882353,0.13202652061112713,0.0355061102727407,0.6590696267295518,A
baby,2837,412455.0300000042,0.286139089641126,0.08113002535313292,0.16002819880155095,0.03034622148018784,0.6894158482097398,A
perfumery,3145,398394.86000000045,0.2578689905101824,0.06581948517432389,0.13290937996820348,0.02931174983640839,0.7187275980461482,A
telephony,4179,323242.77999998996,0.5063683283726308,0.07144610851951878,0.15625747786551808,0.023782464221011504,0.7425100622671598,A
office_furniture,1270,274930.93999999826,0.26445332195811705,0.08073541167066348,0.22992125984251968,0.020227939024033956,0.7627380012911936,A
stationery,2291,231166.1999999966,0.30616680098920884,0.0659536541889483,0.11436054124836316,0.017007964974831858,0.7797459662660255,A
computers,181,223040.92999999988,0.05624701242957315,0.05649717514124294,0.13812154696132597,0.016410151334381833,0.7961561176004074,A
pet_shop,1704,214576.83999999738,0.2877970497762273,0.050535077288941736,0.11737089201877934,0.015787409141691598,0.811943526742099,B
musical_instruments,625,191652.94999999905,0.2478781304091854,0.0756578947368421,0.1328,0.014100792680431799,0.8260443194225309,B
small_appliances,627,190228.49999999942,0.24978579240451212,0.04785478547854786,0.14354066985645933,0.013995989315111118,0.840040308737642,B
unknown,1415,180281.3999999982,0.30896950581000765,0.07142857142857142,0.1971731448763251,0.013264135227440977,0.853304443965083,B
electronics,2535,160382.44999999646,0.68820874076689,0.07673860911270983,0.14240631163708087,0.01180007757266288,0.865104521537746,B
consoles_games,1057,157577.29999999917,0.3674859960948934,0.06120434353405726,0.14853358561967833,0.01159368973158099,0.8766982112693269,B
fashion_bags_accessories,1855,152832.15999999794,0.33131086601675935,0.05577029265599116,0.1196765498652291,0.0112445678663572,0.8879427791356841,B
construction_tools_construction,736,144539.42,0.3364120944869903,0.07458563535911603,0.14266304347826086,0.010634432684547081,0.8985772118202312,B
luggage_accessories,1027,140327.0299999987,0.2585054134415599,0.042490118577075096,0.0934761441090555,0.010324507697328554,0.9089017195175598,B
home_appliances_2,234,113359.63999999998,0.19423124301734457,0.06167400881057269,0.13247863247863248,0.008340392266168568,0.9172421117837284,B
home_construction,479,83730.87999999995,0.2470996928945664,0.0614406779661017,0.1649269311064718,0.006160467552574162,0.9234025793363027,B
home_appliances,764,80171.52999999997,0.3941493177218668,0.04417670682730924,0.12827225130890052,0.0058985897342202324,0.9293011690705228,B
agro_industry_and_commerce,182,72530.47000000002,0.23825717334391677,0.03954802259887006,0.14835164835164835,0.005336401659793305,0.9346375707303162,B
furniture_living_room,417,69665.13000000008,0.31654444562080986,0.07579462102689487,0.15587529976019185,0.005125585362423775,0.93976315609274,B
fixed_telephony,217,59662.48000000002,0.41551282922698046,0.04716981132075472,0.1935483870967742,0.004389644204696108,0.9441528002974356,B
home_confort,375,59124.160000000156,0.2091519606731105,0.0945945945945946,0.18933333333333333,0.00435003751606581,0.9485028378135014,B
air_conditioning,252,55018.06000000008,0.21812027523835037,0.04081632653061224,0.17857142857142858,0.004047932775047618,0.9525507705885491,C
audio,346,50099.51000000011,0.32526700756226673,0.11918604651162791,0.21965317919075145,0.003686052335230033,0.9562368229237791,C
small_appliances_home_oven_and_coffee,75,47445.71,0.16561059877817488,0.05555555555555555,0.10666666666666667,0.003490800012657739,0.9597276229364369,C
books_general_interest,509,46869.88000000017,0.3552893769990151,0.06504065040650407,0.0825147347740668,0.003448433540087551,0.9631760564765245,C
kitchen_dining_laundry_garden_furniture,244,46236.73000000007,0.354366679195827,0.046413502109704644,0.13524590163934427,0.0034018497703849878,0.9665779062469095,C
construction_tools_safety,162,40250.91000000003,0.2357786824856382,0.025974025974025976,0.19753086419753085,0.0029614453474821147,0.9695393515943916,C
construction_tools_lights,232,40217.42000000003,0.23381552088704222,0.06521739130434782,0.10775862068965517,0.0029589813335085874,0.9724983329279002,C
industry_commerce_and_business,233,39557.31000000003,0.27254769812863594,0.06986899563318777,0.11158798283261803,0.002910413992091302,0.9754087469199916,C
food,445,29084.030000000123,0.3431227476378713,0.07110091743119266,0.12134831460674157,0.0021398464116595263,0.977548593331651,C
market_place,274,28000.67000000006,0.32027482445050687,0.041044776119402986,0.13138686131386862,0.002060138612962592,0.9796087319446136,C
costruction_tools_garden,190,26189.49,0.41767477908190576,0.053763440860215055,0.13157894736842105,0.0019268817354298152,0.9815356136800434,C
art,200,24445.48000000008,0.2848068007839652,0.06217616580310881,0.165,0.0017985668650216172,0.983334180545065,C
fashion_shoes,238,23493.970000000045,0.2813011046231038,0.04721030042918455,0.13445378151260504,0.0017285598797737605,0.9850627404248389,C
drinks,292,22478.920000000056,0.39196856922810874,0.05319148936170213,0.1232876712328767,0.0016538779632664894,0.9867166183881053,C
signaling_and_security,139,21433.33,0.43817466971171365,0.043795620437956206,0.11510791366906475,0.0015769490779102581,0.9882935674660155,C
furniture_bedroom,95,20159.920000000006,0.33761377384732133,0.06666666666666667,0.15789473684210525,0.0014832584229676198,0.9897768258889831,C
books_technical,258,19104.03,0.3493225403667918,0.08267716535433071,0.10852713178294573,0.0014055717190408538,0.9911823976080238,C
costruction_tools_tools,97,15903.949999999984,0.377788173573301,0.061855670103092786,0.10309278350515463,0.001170127053875008,0.9923525246618988,C
food_drink,225,15233.169999999982,0.46898729172334713,0.0365296803652968,0.06222222222222222,0.0011207746712783397,0.9934732993331772,C
fashion_male_clothing,112,10847.719999999981,0.2725692266828165,0.04716981132075472,0.26785714285714285,0.0007981168605824962,0.9942714161937597,C
fashion_underwear_beach,121,9541.549999999985,0.42433433267613674,0.09401709401709402,0.19008264462809918,0.0007020159011378352,0.9949734320948976,C
christmas_supplies,127,8775.419999999995,0.6521517378516685,0.08064516129032258,0.13385826771653545,0.0006456481786673012,0.9956190802735649,C
tablets_printing_image,78,7540.309999999996,0.22959488418809862,0.05128205128205128,0.15384615384615385,0.0005547754316131693,0.9961738557051781,C
cine_photo,64,7019.359999999997,0.3362766714378309,0.06451612903225806,0.125,0.0005164467341061862,0.9966903024392842,C
dvds_blu_ray,58,6014.3899999999985,0.8208200664327233,0.07272727272727272,0.1896551724137931,0.0004425064497533829,0.9971328088890377,C
music,36,5956.4800000000005,0.42500075596229414,0.05555555555555555,0.05555555555555555,0.0004382457435961138,0.9975710546326338,C
books_imported,53,4652.3499999999985,0.25499496478126904,0.04,0.1320754716981132,0.0003422948763731901,0.997913349509007,C
party_supplies,38,4405.28,0.34612829270367435,0.0,0.18421052631578946,0.0003241167953806758,0.9982374663043876,C
furniture_mattress_and_upholstery,38,4368.08,0.48879831316432526,0.13513513513513514,0.21052631578947367,0.0003213798195725181,0.9985588461239602,C
portateis_cozinha_e_preparadores_de_alimentos,14,3968.53,0.37582966720813565,0.07692307692307693,0.2857142857142857,0.000291983080751297,0.9988508292047114,C
fashio_female_clothing,38,2738.7400000000007,0.2879501474561878,0.05714285714285714,0.21052631578947367,0.000201501750667579,0.999052330955379,C
la_cuisine,13,2166.98,0.22601369249590325,0.0,0.23076923076923078,0.00015943472679466844,0.9992117656821737,C
fashion_sport,26,2124.5100000000007,0.29188771999069385,0.04,0.11538461538461539,0.00015631001274702173,0.9993680756949207,C
