region_state,orders,revenue,late_rate,avg_delay_days_late,avg_freight_ratio,bad_review_rate
SP,41375,5202955.050001124,0.044944930113103174,8.332967032967034,0.2514475801685811,0.1241570996978852
RJ,12762,1824092.6699998549,0.12105263157894737,13.522408026755853,0.3148258656228175,0.20858799561197305
MG,11544,1585308.0299999008,0.04571076272679232,8.400770712909441,0.31541135789897007,0.13184338184338185
RS,5432,750304.0200000176,0.06081586826347305,10.24,0.3401449594968485,0.13181148748159058
PR,4998,683083.7600000142,0.04042250660166565,8.321608040201005,0.33418559374710477,0.12284913965586235
SC,3612,520553.3400000058,0.08206429780033841,8.312714776632303,0.32962874377771145,0.1464562569213732
BA,3358,511349.9900000055,0.12162162162162163,12.022727272727273,0.3840422326857991,0.19297200714711138
DF,2125,302603.93999999703,0.05673076923076923,7.415254237288136,0.33410101080335014,0.1487058823529412
ES,2025,275037.3099999964,0.10726817042606517,11.299065420560748,0.34525293088227316,0.15506172839506172
GO,2007,294591.94999999774,0.06540623403168115,11.3671875,0.3432953998793148,0.14997508719481814
PE,1648,262788.0299999971,0.096045197740113,11.967320261437909,0.43428225227892586,0.17050970873786409
CE,1327,227254.70999999772,0.1376075058639562,15.181818181818182,0.427537100107836,0.1974378296910324
PA,970,178947.80999999895,0.11205073995771671,12.820754716981131,0.471175103289463,0.20103092783505155
MT,903,156453.52999999945,0.05981941309255079,10.641509433962264,0.3751889672156053,0.1406423034330011
MA,740,119648.21999999986,0.17433751743375175,10.504,0.5367841364286241,0.22162162162162163
MS,709,116812.63999999978,0.09700427960057062,8.338235294117647,0.33532892263452874,0.13963328631875882
PB,532,115268.07999999981,0.10444874274661509,10.333333333333334,0.4953833645764934,0.16729323308270677
PI,493,86914.08000000007,0.13865546218487396,13.348484848484848,0.5041038286336741,0.18661257606490872
RN,482,83034.97999999997,0.09282700421940929,14.477272727272727,0.49683443807987504,0.14730290456431536
AL,411,80314.80999999997,0.2141057934508816,9.541176470588235,0.4730373617581327,0.24330900243309003
SE,345,58920.85000000007,0.15223880597014924,16.19607843137255,0.4657830826155109,0.21159420289855072
TO,279,49621.74000000007,0.09854014598540146,6.518518518518518,0.4883731261752851,0.13620071684587814
RO,247,46140.640000000094,0.02880658436213992,5.571428571428571,0.5760867295102267,0.13360323886639677
AM,147,22356.840000000015,0.027586206896551724,30.25,0.5011562038988904,0.14285714285714285
AC,81,15982.94999999999,0.0375,18.666666666666668,0.5140251573204544,0.16049382716049382
AP,68,13474.299999999996,0.029850746268656716,72.5,0.38346176932118675,0.07352941176470588
RR,46,7829.429999999998,0.12195121951219512,36.4,0.6137824431512613,0.2391304347826087
